"MOSTYPE","MAANTHUI","MGEMOMV","MGEMLEEF","MOSHOOFD","MGODRK","MGODPR","MGODOV","MGODGE","MRELGE","MRELSA","MRELOV","MFALLEEN","MFGEKIND","MFWEKIND","MOPLHOOG","MOPLMIDD","MOPLLAAG","MBERHOOG","MBERZELF","MBERBOER","MBERMIDD","MBERARBG","MBERARBO","MSKA","MSKB1","MSKB2","MSKC","MSKD","MHHUUR","MHKOOP","MAUT1","MAUT2","MAUT0","MZFONDS","MZPART","MINKM30","MINK3045","MINK4575","MINK7512","MINK123M","MINKGEM","MKOOPKLA","PWAPART","PWABEDR","PWALAND","PPERSAUT","PBESAUT","PMOTSCO","PVRAAUT","PAANHANG","PTRACTOR","PWERKT","PBROM","PLEVEN","PPERSONG","PGEZONG","PWAOREG","PBRAND","PZEILPL","PPLEZIER","PFIETS","PINBOED","PBYSTAND","AWAPART","AWABEDR","AWALAND","APERSAUT","ABESAUT","AMOTSCO","AVRAAUT","AAANHANG","ATRACTOR","AWERKT","ABROM","ALEVEN","APERSONG","AGEZONG","AWAOREG","ABRAND","AZEILPL","APLEZIER","AFIETS","AINBOED","ABYSTAND","CARAVAN"
"Dinki's (double income no kids)",1,3,"30-40 years","Driven Growers","0%","76 - 88%","11 - 23%","0%","76 - 88%","11 - 23%","0%","0%","63 - 75%","24 - 36%","11 - 23%","76 - 88%","0%","11 - 23%","0%","0%","76 - 88%","0%","0%","11 - 23%","24 - 36%","37 - 49%","0%","0%","0%","100%","76 - 88%","11 - 23%","0%","76 - 88%","11 - 23%","0%","63 - 75%","24 - 36%","0%","0%","37 - 49%","50 - 62%","50 - 99","0","0","100 - 199","0","0","0","0","0","0","0","0","0","0","0","200 - 499","0","0","0","0","0","1 - 49","0","0","50 - 99","0","0","0","0","0","0","0","0","0","0","0","1 - 49","0","0","0","0","0","0"
"Large family farms",1,3,"40-50 years","Farmers","0%","76 - 88%","1 - 10%","11 - 23%","89 - 99%","1 - 10%","1 - 10%","1 - 10%","50 - 62%","24 - 36%","0%","24 - 36%","63 - 75%","11 - 23%","0%","11 - 23%","24 - 36%","11 - 23%","24 - 36%","1 - 10%","11 - 23%","24 - 36%","37 - 49%","1 - 10%","24 - 36%","63 - 75%","63 - 75%","11 - 23%","11 - 23%","63 - 75%","24 - 36%","11 - 23%","76 - 88%","1 - 10%","1 - 10%","0%","24 - 36%","24 - 36%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1 - 49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1 - 49","0","0","0","0","0","0"
"Traditional families",1,3,"30-40 years","Conservative families","0%","63 - 75%","0%","24 - 36%","63 - 75%","0%","24 - 36%","0%","0%","100%","0%","24 - 36%","63 - 75%","11 - 23%","0%","0%","11 - 23%","50 - 62%","11 - 23%","0%","11 - 23%","37 - 49%","37 - 49%","0%","76 - 88%","11 - 23%","24 - 36%","63 - 75%","0%","63 - 75%","24 - 36%","76 - 88%","0%","11 - 23%","0%","0%","24 - 36%","37 - 49%","0","0","0","0","0","0","0","0","1 - 49","0","0","0","0","0","0","1000 - 4999","0","0","0","0","0","0","0","0","0","0","0","0","0","1 - 49","0","0","0","0","0","0","1 - 49","0","0","0","0","0","0"
"Mixed seniors",2,3,"40-50 years","Family with grown ups","0%","11 - 23%","24 - 36%","50 - 62%","63 - 75%","24 - 36%","0%","0%","24 - 36%","63 - 75%","0%","1 - 10%","89 - 99%","0%","0%","0%","1 - 10%","63 - 75%","24 - 36%","0%","1 - 10%","1 - 10%","89 - 99%","0%","24 - 36%","63 - 75%","63 - 75%","24 - 36%","0%","100%","0%","24 - 36%","50 - 62%","11 - 23%","1 - 10%","0%","24 - 36%","11 - 23%","50 - 99","0","0","50 - 99","0","0","0","0","0","0","0","0","0","0","0","200 - 499","0","0","0","50 - 99","0","1 - 49","0","0","1 - 49","0","0","0","0","0","0","0","0","0","0","0","1 - 49","0","0","0","1 - 49","0","0"
"Young and rising",1,3,"40-50 years","Living well","1 - 10%","50 - 62%","1 - 10%","24 - 36%","63 - 75%","1 - 10%","11 - 23%","0%","0%","100%","0%","0%","100%","11 - 23%","1 - 10%","1 - 10%","11 - 23%","24 - 36%","11 - 23%","0%","0%","50 - 62%","37 - 49%","0%","100%","0%","63 - 75%","1 - 10%","24 - 36%","76 - 88%","11 - 23%","37 - 49%","50 - 62%","0%","0%","0%","24 - 36%","1 - 10%","50 - 99","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50 - 99","0","0","0","0","0","1 - 49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1 - 49","0","0","0","0","0","0"
"Family starters",1,3,"40-50 years","Average Family","11 - 23%","76 - 88%","0%","0%","100%","0%","0%","11 - 23%","24 - 36%","37 - 49%","0%","50 - 62%","37 - 49%","50 - 62%","0%","0%","37 - 49%","0%","1 - 10%","1 - 10%","11 - 23%","37 - 49%","11 - 23%","11 - 23%","1 - 10%","89 - 99%","76 - 88%","11 - 23%","0%","76 - 88%","11 - 23%","11 - 23%","37 - 49%","24 - 36%","0%","1 - 10%","37 - 49%","50 - 62%","50 - 99","0","0","100 - 199","0","0","0","0","0","0","0","0","0","0","0","200 - 499","0","0","1 - 49","0","0","1 - 49","0","0","1 - 49","0","0","0","0","0","0","0","0","0","0","0","50 - 99","0","0","1 - 49","0","0","1 - 49"
"Middle class families",1,3,"40-50 years","Driven Growers","1 - 10%","37 - 49%","1 - 10%","37 - 49%","63 - 75%","1 - 10%","11 - 23%","11 - 23%","24 - 36%","50 - 62%","11 - 23%","37 - 49%","24 - 36%","24 - 36%","1 - 10%","1 - 10%","24 - 36%","11 - 23%","11 - 23%","24 - 36%","11 - 23%","11 - 23%","24 - 36%","0%","37 - 49%","50 - 62%","63 - 75%","11 - 23%","1 - 10%","37 - 49%","50 - 62%","11 - 23%","11 - 23%","37 - 49%","1 - 10%","1 - 10%","50 - 62%","63 - 75%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000 - 4999","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1 - 49","0","0","0","0","0","0"
"Mixed seniors",1,2,"50-60 years","Family with grown ups","0%","50 - 62%","0%","37 - 49%","89 - 99%","0%","1 - 10%","1 - 10%","76 - 88%","11 - 23%","11 - 23%","11 - 23%","63 - 75%","11 - 23%","0%","24 - 36%","11 - 23%","11 - 23%","11 - 23%","11 - 23%","1 - 10%","24 - 36%","37 - 49%","1 - 10%","63 - 75%","24 - 36%","63 - 75%","0%","24 - 36%","76 - 88%","11 - 23%","37 - 49%","11 - 23%","24 - 36%","1 - 10%","0%","37 - 49%","11 - 23%","0","0","0","100 - 199","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1 - 49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"High status seniors",1,3,"40-50 years","Successful hedonists","11 - 23%","76 - 88%","0%","0%","76 - 88%","1 - 10%","11 - 23%","1 - 10%","24 - 36%","50 - 62%","0%","37 - 49%","50 - 62%","11 - 23%","1 - 10%","0%","24 - 36%","11 - 23%","24 - 36%","1 - 10%","24 - 36%","11 - 23%","37 - 49%","1 - 10%","0%","100%","63 - 75%","11 - 23%","11 - 23%","50 - 62%","37 - 49%","0%","50 - 62%","24 - 36%","1 - 10%","0%","37 - 49%","50 - 62%","50 - 99","0","0","0","0","0","0","0","0","0","0","0","0","0","0","500 - 999","0","0","0","0","0","1 - 49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1 - 49","0","0","0","0","0","0"
"Mixed small town dwellers",1,3,"40-50 years","Conservative families","0%","50 - 62%","1 - 10%","24 - 36%","76 - 88%","1 - 10%","11 - 23%","24 - 36%","11 - 23%","50 - 62%","1 - 10%","24 - 36%","63 - 75%","11 - 23%","1 - 10%","1 - 10%","11 - 23%","24 - 36%","24 - 36%","1 - 10%","1 - 10%","1 - 10%","50 - 62%","11 - 23%","50 - 62%","37 - 49%","50 - 62%","11 - 23%","11 - 23%","76 - 88%","11 - 23%","37 - 49%","37 - 49%","1 - 10%","1 - 10%","1 - 10%","24 - 36%","24 - 36%","50 - 99","0","0","100 - 199","0","100 - 199","0","0","0","0","0","0","0","0","0","100 - 199","0","0","0","0","0","1 - 49","0","0","1 - 49","0","1 - 49","0","0","0","0","0","0","0","0","0","1 - 49","0","0","0","0","0","1 - 49"
"Village families",1,2,"50-60 years","Family with grown ups","1 - 10%","50 - 62%","1 - 10%","24 - 36%","63 - 75%","0%","24 - 36%","37 - 49%","24 - 36%","24 - 36%","1 - 10%","24 - 36%","50 - 62%","11 - 23%","1 - 10%","0%","24 - 36%","24 - 36%","11 - 23%","1 - 10%","1 - 10%","11 - 23%","50 - 62%","11 - 23%","50 - 62%","37 - 49%","63 - 75%","0%","24 - 36%","63 - 75%","24 - 36%","24 - 36%","24 - 36%","11 - 23%","1 - 10%","0%","24 - 36%","11 - 23%","1 - 49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100 - 199","0","0","0","0","0","1 - 49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1 - 49","0","0","0","0","0","0"
"Mixed small town dwellers",1,4,"30-40 years","Conservative families","0%","37 - 49%","0%","50 - 62%","89 - 99%","0%","1 - 10%","1 - 10%","1 - 10%","89 - 99%","1 - 10%","37 - 49%","50 - 62%","1 - 10%","0%","0%","11 - 23%","0%","76 - 88%","1 - 10%","11 - 23%","11 - 23%","50 - 62%","1 - 10%","89 - 99%","1 - 10%","50 - 62%","37 - 49%","1 - 10%","89 - 99%","1 - 10%","50 - 62%","37 - 49%","0%","0%","0%","11 - 23%","24 - 36%","50 - 99","0","0","50 - 99","0","0","0","0","0","0","0","0","0","0","0","100 - 199","0","0","0","0","0","1 - 49","0","0","1 - 49","0","0","0","0","0","0","0","0","0","0","0","1 - 49","0","0","0","0","0","0"
"Traditional families",1,3,"40-50 years","Conservative families","11 - 23%","37 - 49%","1 - 10%","24 - 36%","89 - 99%","0%","1 - 10%","1 - 10%","50 - 62%","37 - 49%","1 - 10%","37 - 49%","37 - 49%","1 - 10%","0%","0%","63 - 75%","1 - 10%","24 - 36%","0%","24 - 36%","11 - 23%","37 - 49%","0%","50 - 62%","37 - 49%","50 - 62%","11 - 23%","24 - 36%","63 - 75%","24 - 36%","11 - 23%","37 - 49%","24 - 36%","1 - 10%","0%","37 - 49%","37 - 49%","0","0","0","50 - 99","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1 - 49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mixed seniors",2,3,"40-50 years","Family with grown ups","0%","37 - 49%","0%","50 - 62%","76 - 88%","0%","11 - 23%","11 - 23%","1 - 10%","63 - 75%","0%","11 - 23%","76 - 88%","0%","0%","0%","24 - 36%","63 - 75%","0%","0%","1 - 10%","1 - 10%","63 - 75%","11 - 23%","37 - 49%","50 - 62%","50 - 62%","11 - 23%","24 - 36%","89 - 99%","1 - 10%","24 - 36%","37 - 49%","11 - 23%","0%","0%","24 - 36%","11 - 23%","1 - 49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50 - 99","0","0","0","0","0","1 - 49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1 - 49","0","0","0","0","0","0"
"Mixed seniors",1,2,"50-60 years","Family with grown ups","0%","11 - 23%","11 - 23%","50 - 62%","76 - 88%","0%","11 - 23%","0%","63 - 75%","24 - 36%","0%","11 - 23%","76 - 88%","0%","0%","0%","24 - 36%","37 - 49%","24 - 36%","0%","11 - 23%","0%","76 - 88%","0%","100%","0%","76 - 88%","11 - 23%","0%","100%","0%","63 - 75%","24 - 36%","0%","0%","0%","24 - 36%","11 - 23%","0","0","0","100 - 199","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1 - 49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Young, low educated",1,2,"40-50 years","Cruising Seniors","0%","50 - 62%","1 - 10%","37 - 49%","24 - 36%","11 - 23%","50 - 62%","50 - 62%","24 - 36%","24 - 36%","11 - 23%","24 - 36%","37 - 49%","1 - 10%","1 - 10%","0%","37 - 49%","11 - 23%","24 - 36%","1 - 10%","37 - 49%","1 - 10%","24 - 36%","11 - 23%","76 - 88%","11 - 23%","63 - 75%","1 - 10%","24 - 36%","89 - 99%","1 - 10%","50 - 62%","24 - 36%","11 - 23%","0%","0%","24 - 36%","0%","50 - 99","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100 - 199","0","0","0","0","0","1 - 49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1 - 49","0","0","0","0","0","0"
"Suburban youth",1,2,"40-50 years","Living well","1 - 10%","37 - 49%","11 - 23%","24 - 36%","63 - 75%","11 - 23%","11 - 23%","11 - 23%","37 - 49%","24 - 36%","1 - 10%","11 - 23%","63 - 75%","1 - 10%","0%","0%","24 - 36%","11 - 23%","37 - 49%","1 - 10%","1 - 10%","1 - 10%","63 - 75%","11 - 23%","100%","0%","76 - 88%","11 - 23%","11 - 23%","89 - 99%","1 - 10%","24 - 36%","24 - 36%","24 - 36%","1 - 10%","0%","37 - 49%","1 - 10%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100 - 199","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1 - 49","0","0","0","0","0","0"
"Family starters",1,2,"50-60 years","Average Family","0%","76 - 88%","0%","11 - 23%","63 - 75%","0%","24 - 36%","37 - 49%","11 - 23%","37 - 49%","24 - 36%","24 - 36%","24 - 36%","37 - 49%","0%","11 - 23%","0%","37 - 49%","1 - 10%","24 - 36%","0%","11 - 23%","50 - 62%","0%","1 - 10%","89 - 99%","24 - 36%","0%","63 - 75%","76 - 88%","11 - 23%","37 - 49%","24 - 36%","11 - 23%","11 - 23%","0%","37 - 49%","50 - 62%","1 - 49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50 - 99","0","0","0","0","0","1 - 49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50 - 99","0","0","0","0","0","0"
"Mixed seniors",2,3,"40-50 years","Family with grown ups","0%","63 - 75%","1 - 10%","24 - 36%","76 - 88%","0%","11 - 23%","1 - 10%","24 - 36%","63 - 75%","1 - 10%","11 - 23%","76 - 88%","1 - 10%","0%","1 - 10%","24 - 36%","24 - 36%","37 - 49%","1 - 10%","11 - 23%","1 - 10%","63 - 75%","1 - 10%","1 - 10%","89 - 99%","89 - 99%","0%","1 - 10%","89 - 99%","1 - 10%","0%","11 - 23%","76 - 88%","0%","0%","37 - 49%","11 - 23%","50 - 99","0","0","100 - 199","0","0","0","0","0","0","0","200 - 499","0","0","0","200 - 499","0","0","0","0","0","1 - 49","0","0","1 - 49","0","0","0","0","0","0","0","50 - 99","0","0","0","1 - 49","0","0","0","0","0","0"
"Traditional families",2,5,"30-40 years","Conservative families","1 - 10%","50 - 62%","0%","24 - 36%","76 - 88%","1 - 10%","11 - 23%","0%","0%","100%","0%","37 - 49%","50 - 62%","0%","0%","0%","63 - 75%","24 - 36%","0%","0%","37 - 49%","0%","50 - 62%","0%","11 - 23%","76 - 88%","63 - 75%","11 - 23%","11 - 23%","63 - 75%","24 - 36%","0%","37 - 49%","50 - 62%","0%","0%","37 - 49%","37 - 49%","50 - 99","0","0","100 - 199","0","0","0","0","0","0","0","0","0","0","0","200 - 499","0","0","0","0","0","1 - 49","0","0","1 - 49","0","0","0","0","0","0","0","0","0","0","0","1 - 49","0","0","0","0","0","0"
"Family starters",1,1,"30-40 years","Average Family","0%","50 - 62%","1 - 10%","37 - 49%","37 - 49%","24 - 36%","11 - 23%","63 - 75%","24 - 36%","1 - 10%","37 - 49%","50 - 62%","1 - 10%","11 - 23%","0%","0%","37 - 49%","24 - 36%","11 - 23%","1 - 10%","1 - 10%","1 - 10%","76 - 88%","11 - 23%","89 - 99%","1 - 10%","89 - 99%","0%","1 - 10%","100%","0%","24 - 36%","50 - 62%","11 - 23%","0%","0%","24 - 36%","50 - 62%","0","0","0","50 - 99","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1 - 49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Affluent young families",1,3,"30-40 years","Average Family","0%","63 - 75%","0%","24 - 36%","76 - 88%","11 - 23%","0%","1 - 10%","11 - 23%","63 - 75%","11 - 23%","37 - 49%","37 - 49%","1 - 10%","0%","0%","50 - 62%","11 - 23%","1 - 10%","0%","24 - 36%","11 - 23%","37 - 49%","0%","0%","100%","100%","0%","0%","50 - 62%","37 - 49%","11 - 23%","37 - 49%","37 - 49%","0%","0%","37 - 49%","63 - 75%","50 - 99","0","0","0","0","0","0","0","0","0","0","0","0","0","100 - 199","200 - 499","0","0","0","0","0","1 - 49","0","0","0","0","0","0","0","0","0","0","0","0","0","1 - 49","1 - 49","0","0","0","0","0","1 - 49"
"Large family, employed child",1,2,"40-50 years","Family with grown ups","0%","37 - 49%","37 - 49%","11 - 23%","76 - 88%","11 - 23%","1 - 10%","1 - 10%","76 - 88%","11 - 23%","0%","24 - 36%","63 - 75%","1 - 10%","0%","11 - 23%","37 - 49%","1 - 10%","37 - 49%","1 - 10%","1 - 10%","37 - 49%","37 - 49%","11 - 23%","76 - 88%","11 - 23%","89 - 99%","1 - 10%","1 - 10%","76 - 88%","11 - 23%","50 - 62%","24 - 36%","11 - 23%","0%","0%","24 - 36%","37 - 49%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Porchless seniors: no front yard",1,3,"40-50 years","Retired and Religious","0%","37 - 49%","1 - 10%","37 - 49%","63 - 75%","1 - 10%","24 - 36%","1 - 10%","37 - 49%","50 - 62%","1 - 10%","24 - 36%","50 - 62%","24 - 36%","0%","1 - 10%","37 - 49%","1 - 10%","11 - 23%","1 - 10%","11 - 23%","37 - 49%","24 - 36%","1 - 10%","11 - 23%","76 - 88%","37 - 49%","0%","50 - 62%","76 - 88%","11 - 23%","11 - 23%","11 - 23%","11 - 23%","37 - 49%","1 - 10%","63 - 75%","1 - 10%","50 - 99","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1 - 49","0","0","0","0","0","1 - 49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1 - 49","0","0","0","0","0","0"
"Porchless seniors: no front yard",1,2,"50-60 years","Retired and Religious","0%","50 - 62%","24 - 36%","11 - 23%","37 - 49%","1 - 10%","37 - 49%","50 - 62%","37 - 49%","1 - 10%","11 - 23%","37 - 49%","24 - 36%","1 - 10%","1 - 10%","0%","50 - 62%","11 - 23%","1 - 10%","1 - 10%","11 - 23%","24 - 36%","37 - 49%","1 - 10%","100%","0%","50 - 62%","0%","37 - 49%","50 - 62%","37 - 49%","50 - 62%","24 - 36%","11 - 23%","0%","0%","24 - 36%","1 - 10%","0","0","0","100 - 199","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1 - 49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Village families",1,3,"40-50 years","Family with grown ups","1 - 10%","37 - 49%","1 - 10%","37 - 49%","63 - 75%","1 - 10%","24 - 36%","11 - 23%","37 - 49%","37 - 49%","1 - 10%","24 - 36%","63 - 75%","1 - 10%","1 - 10%","1 - 10%","11 - 23%","37 - 49%","11 - 23%","1 - 10%","11 - 23%","11 - 23%","37 - 49%","1 - 10%","37 - 49%","50 - 62%","50 - 62%","11 - 23%","24 - 36%","76 - 88%","11 - 23%","24 - 36%","37 - 49%","11 - 23%","1 - 10%","1 - 10%","24 - 36%","11 - 23%","0","0","0","100 - 199","0","0","0","0","0","0","0","0","0","0","0","100 - 199","0","0","0","0","0","0","0","0","1 - 49","0","0","0","0","0","0","0","0","0","0","0","1 - 49","0","0","0","0","0","0"
"Lower class large families",1,3,"40-50 years","Family with grown ups","0%","37 - 49%","0%","50 - 62%","100%","0%","0%","0%","50 - 62%","37 - 49%","24 - 36%","37 - 49%","24 - 36%","11 - 23%","0%","0%","50 - 62%","11 - 23%","1 - 10%","11 - 23%","1 - 10%","24 - 36%","37 - 49%","1 - 10%","11 - 23%","76 - 88%","50 - 62%","37 - 49%","0%","50 - 62%","37 - 49%","0%","11 - 23%","24 - 36%","11 - 23%","24 - 36%","89 - 99%","50 - 62%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mixed apartment dwellers",2,1,"20-30 years","Living well","0%","11 - 23%","37 - 49%","37 - 49%","11 - 23%","11 - 23%","50 - 62%","50 - 62%","37 - 49%","0%","0%","76 - 88%","11 - 23%","0%","0%","0%","76 - 88%","0%","11 - 23%","0%","50 - 62%","0%","37 - 49%","0%","100%","0%","76 - 88%","0%","11 - 23%","100%","0%","37 - 49%","37 - 49%","11 - 23%","0%","0%","24 - 36%","11 - 23%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Family starters",1,1,"40-50 years","Average Family","37 - 49%","0%","0%","50 - 62%","0%","11 - 23%","76 - 88%","76 - 88%","11 - 23%","1 - 10%","0%","76 - 88%","11 - 23%","0%","0%","0%","24 - 36%","0%","63 - 75%","0%","24 - 36%","37 - 49%","0%","11 - 23%","89 - 99%","1 - 10%","11 - 23%","0%","76 - 88%","76 - 88%","11 - 23%","63 - 75%","24 - 36%","0%","11 - 23%","0%","24 - 36%","50 - 62%","50 - 99","0","0","100 - 199","0","0","0","0","0","0","0","0","0","0","0","50 - 99","0","0","0","0","0","1 - 49","0","0","1 - 49","0","0","0","0","0","0","0","0","0","0","0","1 - 49","0","0","0","0","0","0"
"Mixed seniors",1,4,"30-40 years","Family with grown ups","0%","89 - 99%","1 - 10%","0%","100%","0%","0%","0%","11 - 23%","76 - 88%","11 - 23%","24 - 36%","37 - 49%","24 - 36%","1 - 10%","0%","37 - 49%","1 - 10%","1 - 10%","24 - 36%","11 - 23%","11 - 23%","37 - 49%","0%","0%","100%","76 - 88%","11 - 23%","0%","63 - 75%","24 - 36%","0%","63 - 75%","24 - 36%","0%","0%","37 - 49%","11 - 23%","50 - 99","0","0","100 - 199","0","0","0","0","0","0","0","0","0","0","0","200 - 499","0","0","0","0","0","1 - 49","0","0","1 - 49","0","0","0","0","0","0","0","0","0","0","0","1 - 49","0","0","0","0","0","0"
"Village families",1,3,"40-50 years","Family with grown ups","0%","63 - 75%","1 - 10%","11 - 23%","76 - 88%","1 - 10%","11 - 23%","1 - 10%","37 - 49%","37 - 49%","1 - 10%","11 - 23%","63 - 75%","1 - 10%","0%","1 - 10%","24 - 36%","11 - 23%","37 - 49%","1 - 10%","1 - 10%","11 - 23%","63 - 75%","1 - 10%","50 - 62%","37 - 49%","50 - 62%","11 - 23%","24 - 36%","63 - 75%","24 - 36%","11 - 23%","50 - 62%","11 - 23%","1 - 10%","0%","24 - 36%","11 - 23%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Young all american family",1,3,"40-50 years","Average Family","0%","63 - 75%","0%","24 - 36%","63 - 75%","0%","24 - 36%","11 - 23%","37 - 49%","37 - 49%","37 - 49%","24 - 36%","11 - 23%","76 - 88%","0%","0%","0%","11 - 23%","0%","76 - 88%","0%","0%","11 - 23%","0%","0%","100%","100%","0%","0%","37 - 49%","50 - 62%","0%","50 - 62%","37 - 49%","0%","0%","37 - 49%","50 - 62%","50 - 99","0","0","100 - 199","0","0","0","0","0","0","0","0","0","0","0","200 - 499","0","0","0","0","0","1 - 49","0","0","1 - 49","0","0","0","0","0","0","0","0","0","0","0","1 - 49","0","0","0","0","0","0"
"Village families",1,3,"50-60 years","Family with grown ups","37 - 49%","24 - 36%","0%","11 - 23%","63 - 75%","0%","24 - 36%","24 - 36%","37 - 49%","24 - 36%","0%","76 - 88%","11 - 23%","11 - 23%","0%","11 - 23%","37 - 49%","0%","11 - 23%","11 - 23%","1 - 10%","50 - 62%","11 - 23%","0%","11 - 23%","76 - 88%","63 - 75%","24 - 36%","0%","24 - 36%","63 - 75%","0%","76 - 88%","11 - 23%","0%","0%","37 - 49%","11 - 23%","0","0","0","0","0","0","0","0","1 - 49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1 - 49","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Residential elderly",1,2,"60-70 years","Retired and Religious","11 - 23%","11 - 23%","11 - 23%","37 - 49%","63 - 75%","0%","24 - 36%","24 - 36%","37 - 49%","11 - 23%","0%","1 - 10%","89 - 99%","1 - 10%","0%","0%","1 - 10%","37 - 49%","50 - 62%","0%","1 - 10%","1 - 10%","37 - 49%","50 - 62%","100%","0%","37 - 49%","24 - 36%","24 - 36%","100%","0%","1 - 10%","89 - 99%","0%","0%","0%","24 - 36%","11 - 23%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Modern, complete families",2,3,"30-40 years","Average Family","0%","50 - 62%","0%","37 - 49%","100%","0%","0%","0%","37 - 49%","50 - 62%","11 - 23%","50 - 62%","11 - 23%","11 - 23%","11 - 23%","0%","37 - 49%","0%","11 - 23%","24 - 36%","0%","37 - 49%","11 - 23%","0%","76 - 88%","11 - 23%","76 - 88%","11 - 23%","0%","63 - 75%","24 - 36%","37 - 49%","50 - 62%","0%","0%","0%","24 - 36%","24 - 36%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1 - 49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1 - 49","0","0","0"
"Young, low educated",1,2,"60-70 years","Cruising Seniors","1 - 10%","50 - 62%","11 - 23%","11 - 23%","50 - 62%","1 - 10%","24 - 36%","37 - 49%","50 - 62%","1 - 10%","1 - 10%","50 - 62%","37 - 49%","24 - 36%","1 - 10%","0%","37 - 49%","1 - 10%","11 - 23%","24 - 36%","11 - 23%","11 - 23%","11 - 23%","24 - 36%","63 - 75%","24 - 36%","76 - 88%","1 - 10%","1 - 10%","50 - 62%","37 - 49%","37 - 49%","37 - 49%","11 - 23%","1 - 10%","0%","24 - 36%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100 - 199","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1 - 49","0","0","0","0","0","0"
"Low income catholics",1,3,"50-60 years","Retired and Religious","1 - 10%","50 - 62%","1 - 10%","24 - 36%","89 - 99%","1 - 10%","1 - 10%","11 - 23%","50 - 62%","24 - 36%","11 - 23%","24 - 36%","50 - 62%","1 - 10%","1 - 10%","1 - 10%","50 - 62%","24 - 36%","1 - 10%","1 - 10%","1 - 10%","24 - 36%","50 - 62%","1 - 10%","37 - 49%","50 - 62%","76 - 88%","0%","11 - 23%","50 - 62%","37 - 49%","11 - 23%","24 - 36%","37 - 49%","1 - 10%","0%","37 - 49%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100 - 199","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1 - 49","0","0","0","0","0","0"
